store,workload,concurrency,operations,duration (ns),throughput
shard,50% conflict 50% reads,6,30000,23738273,1263781.910
shard,50% conflict 50% reads,7,35000,19649355,1781228.951
shard,50% conflict 50% reads,8,40000,24134080,1657407.285
shard,50% conflict 50% reads,9,45000,24609173,1828586.438
shard,50% conflict 50% reads,10,50000,31719464,1576319.196
shard,50% conflict 50% reads,11,55000,35740071,1538888.941
shard,50% conflict 50% reads,12,60000,36808374,1630063.854
shard,50% conflict 50% reads,13,65000,40358367,1610570.616
shard,50% conflict 50% reads,14,70000,44120436,1586566.370
shard,50% conflict 50% reads,15,75000,48485969,1546839.252
basic,50% conflict 50% reads,1,5000,2966577,1685444.201
basic,50% conflict 50% reads,2,10000,5742890,1741283.570
basic,50% conflict 50% reads,3,15000,7432830,2018073.870
basic,50% conflict 50% reads,4,20000,11425320,1750498.017
basic,50% conflict 50% reads,5,25000,14645001,1707067.142
basic,50% conflict 50% reads,6,30000,17383814,1725743.269
basic,50% conflict 50% reads,7,35000,20499496,1707359.049
basic,50% conflict 50% reads,8,40000,23804626,1680345.661
basic,50% conflict 50% reads,9,45000,28121191,1600216.719
basic,50% conflict 50% reads,10,50000,30431052,1643058.544
basic,50% conflict 50% reads,11,55000,37846834,1453225.916
basic,50% conflict 50% reads,12,60000,47695853,1257971.002
basic,50% conflict 50% reads,13,65000,53685345,1210758.728
basic,50% conflict 50% reads,14,70000,51488166,1359535.704
basic,50% conflict 50% reads,15,75000,53707941,1396441.543
misframe,50% conflict 50% reads,1,5000,2972268,1682217.081
misframe,50% conflict 50% reads,2,10000,6052405,1652235.764
misframe,50% conflict 50% reads,3,15000,9855692,1521963.146
misframe,50% conflict 50% reads,4,20000,16684009,1198752.650
misframe,50% conflict 50% reads,5,25000,20280983,1232681.868
misframe,50% conflict 50% reads,6,30000,22667416,1323485.659
misframe,50% conflict 50% reads,7,35000,25049702,1397222.210
misframe,50% conflict 50% reads,8,40000,28614343,1397900.347
misframe,50% conflict 50% reads,9,45000,32403526,1388737.757
misframe,50% conflict 50% reads,10,50000,35485200,1409038.134
misframe,50% conflict 50% reads,11,55000,42884192,1282523.873
misframe,50% conflict 50% reads,12,60000,45385987,1321993.945
misframe,50% conflict 50% reads,13,65000,50640354,1283561.327
misframe,50% conflict 50% reads,14,70000,54291461,1289337.194
misframe,50% conflict 50% reads,15,75000,69940031,1072347.251
sync map,50% conflict 50% reads,1,5000,4008251,1247426.870
sync map,50% conflict 50% reads,2,10000,5663884,1765572.882
sync map,50% conflict 50% reads,3,15000,7795644,1924151.488
sync map,50% conflict 50% reads,4,20000,11017528,1815289.237
sync map,50% conflict 50% reads,5,25000,14516973,1722122.098
sync map,50% conflict 50% reads,6,30000,17707565,1694191.155
sync map,50% conflict 50% reads,7,35000,21574839,1622260.078
sync map,50% conflict 50% reads,8,40000,26047711,1535643.573
sync map,50% conflict 50% reads,9,45000,29690505,1515636.059
sync map,50% conflict 50% reads,10,50000,34748010,1438931.323
sync map,50% conflict 50% reads,11,55000,38450306,1430417.745
sync map,50% conflict 50% reads,12,60000,43261699,1386908.082
sync map,50% conflict 50% reads,13,65000,42336546,1535316.556
sync map,50% conflict 50% reads,14,70000,44319995,1579422.561
sync map,50% conflict 50% reads,15,75000,47791909,1569303.289
shard,50% conflict 50% reads,1,5000,3078448,1624195.049
shard,50% conflict 50% reads,2,10000,5570407,1795200.961
shard,50% conflict 50% reads,3,15000,7712886,1944797.317
shard,50% conflict 50% reads,4,20000,10155250,1969424.682
shard,50% conflict 50% reads,5,25000,13367683,1870181.990
shard,50% conflict 50% reads,6,30000,16402517,1828987.588
shard,50% conflict 50% reads,7,35000,22022029,1589317.678
shard,50% conflict 50% reads,8,40000,25225464,1585699.276
shard,50% conflict 50% reads,9,45000,28561289,1575559.142
shard,50% conflict 50% reads,10,50000,32253177,1550234.881
shard,50% conflict 50% reads,11,55000,36704843,1498439.865
shard,50% conflict 50% reads,12,60000,41333196,1451617.726
shard,50% conflict 50% reads,13,65000,45104104,1441110.547
shard,50% conflict 50% reads,14,70000,46841293,1494407.936
shard,50% conflict 50% reads,15,75000,53180263,1410297.651
